title,source,status,macro_areas,relevance_score,relevance_label,positive_signals,negative_signals,official_url
"Pubblicato decreto recante il riparto tra le Regioni del Fondo per l’implementazione dei progetti di vita individuali, personalizzati e partecipati",Dipartimento per le politiche in favore delle persone con disabilità,UNKNOWN,"Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Lavoro, organizzazioni e occupazione",2.0,Media,disabil,,https://www.disabilita.governo.it/it/avvisi-e-bandi/pubblicato-decreto-recante-il-riparto-tra-le-regioni-del-fondo-per-l-implementazione-dei-progetti-di-vita-individuali-personalizzati-e-partecipati/
Avviso “Crescere nei piccoli comuni 2026”: stanziati 50 milioni di euro per le famiglie,Dipartimento per le politiche della famiglia,UNKNOWN,"Minori e adolescenti | Famiglia e genitorialità | Comunità, welfare e sviluppo territoriale",3.0,Media,adolescent,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-crescere-nei-piccoli-comuni-2026-stanziati-50-milioni-di-euro-per-le-famiglie/
Avviso pubblico per l’individuazione di tre associazioni nazionali operanti nel settore della lotta ai fenomeni dell’abuso e dello sfruttamento sessuale in danno dei minori.,Dipartimento per le politiche della famiglia,UNKNOWN,"Minori e adolescenti | Famiglia e genitorialità | Violenza, trauma e tutela | Lavoro, organizzazioni e occupazione | Salute pubblica e prevenzione",2.0,Media,prevenzione,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-pubblico-per-l-individuazione-di-tre-associazioni-nazionali-operanti-nel-settore-della-lotta-ai-fenomeni-dell-abuso-e-dello-sfruttamento-sessuale-in-danno-dei-minori/
Avviso pubblico per la raccolta di manifestazione di interesse a partecipare alla selezione di tre associazioni nazionali operanti nel settore della lotta ai fenomeni dell’abuso e dello sfruttamento sessuale in danno dei minori,Dipartimento per le politiche della famiglia,UNKNOWN,"Minori e adolescenti | Famiglia e genitorialità | Violenza, trauma e tutela | Salute pubblica e prevenzione",2.0,Media,prevenzione,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-pubblico-selezione-di-tre-associazioni-nazionali-operanti-nel-settore-della-lotta-ai-fenomeni-dell-abuso-e-dello-sfruttamento-sessuale-in-danno-dei-minori/
Persons with disabilities: opportunities for labour inclusion and social protection through the life course,eu-funding-tenders,UPCOMING,"Disabilità e neurodiversità | Violenza, trauma e tutela",2.0,Media,disabil,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-01-TRANSFO-07
Improving socio-economic outcomes for persons with dementia and informal caregivers,eu-funding-tenders,UPCOMING,"Anziani, ageing e caregiver",2.0,Media,caregiver,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2027-02-TRANSFO-09-two-stage
Addressing disabilities through the life course to support independent living and inclusion,eu-funding-tenders,UPCOMING,Disabilità e neurodiversità,2.0,Media,disabil,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2027-01-STAYHLTH-01
BANDO ZENIT Fondo Repubblica Digitale,Fondazione Cariverona,OPEN,"Scuola, università e formazione | Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale | Digitale, innovazione e AI",2.0,Media,disabil | inclusione sociale | formazione,impresa,https://www.fondazionecariverona.org/Iniziative/bando-zenit-frd/
PROGRAMMA S.T.A.R. 2026,Fondazione Cariverona,OPEN,"Minori e adolescenti | Scuola, università e formazione | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale | Ricerca e innovazione scientifica",2.0,Media,giovani | formazione,,https://www.fondazionecariverona.org/Iniziative/programma-star-2026/
SMAQ VENETO – PIANTE OFFICINALI ED ALIMURGICHE,Fondazione Cariverona,OPEN,"Minori e adolescenti | Scuola, università e formazione | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale | Digitale, innovazione e AI",2.0,Media,giovani | formazione,,https://www.fondazionecariverona.org/Iniziative/smaq-veneto-2026/
Contributi per l'attività di tutoraggio - Provincia Autonoma di Trento,incentivi-gov,OPEN,"Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Lavoro, organizzazioni e occupazione",4.0,Media,disabil | inclusione sociale,,https://trasparenza.provincia.tn.it/archivio16_procedimenti_-1_180422_25_1.html
FVG - Contributi a favore dell’occupazione di persone svantaggiate,incentivi-gov,OPEN,"Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Lavoro, organizzazioni e occupazione",4.0,Media,disabil | inclusione sociale,,https://lexview-int.regione.fvg.it/FontiNormative/DettLegge.aspx?ID=5037
Contributo a sostegno del costo per l'acquisto di autoveicoli di categoria M1 e M2 - Regione autonoma Friuli-Venezia-Giulia,incentivi-gov,OPEN,"Disabilità e neurodiversità | Anziani, ageing e caregiver | Comunità, welfare e sviluppo territoriale",2.0,Media,disabil,,https://www.regione.fvg.it/rafvg/export/sites/default/RAFVG/salute-sociale/terzo-settore/FOGLIA4/allegati/26062023_DPReg_102_05.06.2023_e_regolamento_allegato.pdf
Dote Impresa Collocamento Mirato Disabili - Annualità 2025 - Provincia di Pavia,incentivi-gov,UNKNOWN,"Scuola, università e formazione | Inclusione sociale e vulnerabilità | Disabilità e neurodiversità | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale | Diritti, pari opportunità e contrasto alle discriminazioni",2.0,Media,disabil | inclusione sociale | formazione,impresa,https://www.provincia.pv.it/it/page/dote-impresa
Sicurezza Aler lombarde 2025,incentivi-gov,OPEN,Inclusione sociale e vulnerabilità,2.0,Media,inclusione sociale,,https://www.regione.lombardia.it/wps/portal/istituzionale/HP/DettaglioRedazionale/istituzione/direzioni-generali/direzione-generale-casa-e-housing-sociale/organizzazione-e-uffici/red-presentazione-direzione-CASP/red-presentazione-direzione-pad
Percorso formativo per i giovani delle comunità di italiani all’estero,aig-opportunities,UNKNOWN,"Minori e adolescenti | Famiglia e genitorialità | Comunità, welfare e sviluppo territoriale",1.0,Bassa,giovani,,https://agenziagioventu.gov.it/percorso-formativo-per-i-giovani-delle-comunita-di-italiani-allestero/
"Piano di azione nazionale “Giovani, pace e sicurezza”| Focus group, 11 aprile – Roma",aig-opportunities,UNKNOWN,"Minori e adolescenti | Migrazione, integrazione e intercultura | Diritti, pari opportunità e contrasto alle discriminazioni",1.0,Bassa,giovani,,https://agenziagioventu.gov.it/piano-dazione-nazionale-giovani-pace-e-sicurezza-focus-group-11-aprile-roma/
"L’Isola, i giovani e il futuro | Lampedusa, 24-27 settembre – Call for participants",aig-opportunities,UNKNOWN,"Salute mentale e benessere | Minori e adolescenti | Comunità, welfare e sviluppo territoriale",1.0,Bassa,giovani,,https://agenziagioventu.gov.it/lisola-i-giovani-e-il-futuro-lampedusa-24-27-settembre-call-for-participants/
Giovani e Mediterraneo: a Catania l’Euromediterranean Meeting on Youth promosso dall’Agenzia Italiana per la Gioventù,aig-opportunities,UNKNOWN,"Minori e adolescenti | Lavoro, organizzazioni e occupazione | Migrazione, integrazione e intercultura",1.0,Bassa,giovani,,https://agenziagioventu.gov.it/giovani-e-mediterraneo-a-catania-leuromediterranean-meeting-on-youth-promosso-dallagenzia-italiana-per-la-gioventu/
Erasmus+ Sport – Round Table on Sustainability and Social sport,aig-opportunities,UNKNOWN,"Minori e adolescenti | Inclusione sociale e vulnerabilità | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale",1.0,Bassa,giovani,,https://agenziagioventu.gov.it/erasmussport-round-table-on-sustainability-and-social-sport/
"QUI, Ricordo | Evento preparatorio al Viaggio del Ricordo",aig-opportunities,UNKNOWN,Minori e adolescenti,1.0,Bassa,giovani,,https://agenziagioventu.gov.it/qui-ricordo-evento-preparatorio-al-viaggio-del-ricordo/
“57 giorni… 57 parole buone… 57 storie…” Un percorso di memoria attiva per le giovani generazioni,aig-opportunities,UNKNOWN,Minori e adolescenti,1.0,Bassa,giovani,,https://agenziagioventu.gov.it/57-giorni-57-parole-buone-57-storie-un-percorso-di-memoria-attiva-per-le-giovani-generazioni/
Al via il contest creativo nazionale “Qui facis mirabilia”: i giovani raccontano San Francesco attraverso l’arte,aig-opportunities,UNKNOWN,"Minori e adolescenti | Migrazione, integrazione e intercultura",1.0,Bassa,giovani,,https://agenziagioventu.gov.it/al-via-il-contest-creativo-nazionale-qui-facis-mirabilia-i-giovani-raccontano-san-francesco-attraverso-larte/
Bando “Note di comunità. Esperienze musicali di quartiere”,Con i Bambini,OPEN,"Minori e adolescenti | Inclusione sociale e vulnerabilità | Lavoro, organizzazioni e occupazione | Comunità, welfare e sviluppo territoriale",0.0,Bassa,,,https://www.conibambini.org/bandi-e-iniziative/bando-note-di-comunita-esperienze-musicali-di-quartiere/
"Bando “Opportunità per me, un futuro migliore. Percorsi di seconda occasione”",Con i Bambini,OPEN,"Minori e adolescenti | Scuola, università e formazione | Inclusione sociale e vulnerabilità | Lavoro, organizzazioni e occupazione",1.0,Bassa,formazione,,https://www.conibambini.org/bandi-e-iniziative/bando-opportunita-per-me-un-futuro-migliore-percorsi-di-seconda-occasione/
Avviso bando gara COE,Dipartimento per le politiche della famiglia,OPEN,Famiglia e genitorialità,0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-bando-gara-coe/
Avviso per il finanziamento delle attività educative e ricreative formali e non formali dei comuni,Dipartimento per le politiche della famiglia,UNKNOWN,Famiglia e genitorialità,0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-per-il-finanziamento-delle-attivita-educative-e-ricreative-formali-e-non-formali-dei-comuni/
"Avviso pubblico ""Educare in comune""",Dipartimento per le politiche della famiglia,OPEN,Famiglia e genitorialità | Inclusione sociale e vulnerabilità,0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-pubblico-educare-in-comune/
"Avviso pubblico ""Educare insieme""",Dipartimento per le politiche della famiglia,UNKNOWN,"Famiglia e genitorialità | Lavoro, organizzazioni e occupazione | Digitale, innovazione e AI",0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-pubblico-educare-insieme/
Avviso pubblico per il finanziamento di progetti per la protezione e il sostegno di minori vittime di abuso e sfruttamento sessuale,Dipartimento per le politiche della famiglia,UNKNOWN,"Minori e adolescenti | Famiglia e genitorialità | Violenza, trauma e tutela",0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-pubblico-per-il-finanziamento-di-progetti-per-la-protezione-e-il-sostegno-di-minori-vittime-di-abuso-e-sfruttamento-sessuale/
Avviso pubblico per il “Rafforzamento della rete dei Centri per la famiglia”,Dipartimento per le politiche della famiglia,UNKNOWN,"Famiglia e genitorialità | Comunità, welfare e sviluppo territoriale | Diritti, pari opportunità e contrasto alle discriminazioni",0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avviso-pubblico-per-il-rafforzamento-della-rete-dei-centri-per-la-famiglia/
Avviso pubblico per la raccolta di manifestazioni di interesse a partecipare alla procedura per l’affidamento del servizio di gestione dell’utenza telefonica “114 – Emergenza Infanzia”,Dipartimento per le politiche della famiglia,UNKNOWN,Famiglia e genitorialità,0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/avviso-pubblico-per-la-raccolta-di-manifestazioni-di-interesse-a-partecipare-alla-procedura-per-l-affidamento-del-servizio-di-gestione-dell-utenza-telefonica-114-emergenza-infanzia/
"Bando ""Time to care""",Dipartimento per le politiche della famiglia,UNKNOWN,Minori e adolescenti | Famiglia e genitorialità,1.0,Bassa,giovani,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/bando-time-to-care/
“Insieme si vince”,Dipartimento per le politiche della famiglia,UNKNOWN,Famiglia e genitorialità,0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/insieme-si-vince/
"Manifestazione di interesse per l’individuazione del punto di contatto nazionale del Programma “Cittadini, Uguaglianza, Diritti e Valori - CERV” della Commissione europea",Dipartimento per le politiche della famiglia,UNKNOWN,"Famiglia e genitorialità | Diritti, pari opportunità e contrasto alle discriminazioni",0.0,Bassa,,,https://www.famiglia.governo.it/it/politiche-e-attivita/finanziamenti-avvisi-e-bandi/avvisi-e-bandi/manifestazione-di-interesse-per-l-individuazione-del-punto-di-contatto-nazionale-del-programma-cittadini-uguaglianza-diritti-e-valori-cerv-della-commissione-europea/
